client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,1, ,250, test,0.04,None,13116035,28848,288483,0,951,10,2.195,1.996,12,17
87e629ac-6811-4448-942f-484f7811611b_1,1, ,250, test,0.06,None,13116035,89889,898893,1,951,10,2.558,3.762,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,2, ,250, test,0.5,None,13116027,27069,270691,0,945,10,4.134,4.529,12,17
87e629ac-6811-4448-942f-484f7811611b_1,2, ,250, test,0.36,None,13116027,92929,929293,1,945,10,3.174,3.69,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,3, ,250, test,0.56,None,13116031,26644,266445,0,924,10,5.316,2.299,12,17
87e629ac-6811-4448-942f-484f7811611b_1,3, ,250, test,0.62,None,13116031,90073,900738,1,924,10,5.017,4.126,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,4, ,250, test,0.58,None,13116032,26745,267455,0,925,10,5.348,2.183,12,17
87e629ac-6811-4448-942f-484f7811611b_1,4, ,250, test,0.68,None,13116032,90312,903120,1,925,10,4.17,4.099,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,5, ,250, test,0.58,None,13116031,26498,264980,0,906,10,4.726,2.502,12,17
87e629ac-6811-4448-942f-484f7811611b_1,5, ,250, test,0.7,None,13116031,88508,885087,1,906,10,3.131,3.608,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,6, ,250, test,0.58,None,13116027,25667,256676,0,925,10,3.978,2.141,12,17
87e629ac-6811-4448-942f-484f7811611b_1,6, ,250, test,0.72,None,13116027,90446,904462,1,925,10,2.601,3.716,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,7, ,250, test,0.58,None,13116031,26074,260749,0,930,10,3.808,2.111,12,17
87e629ac-6811-4448-942f-484f7811611b_1,7, ,250, test,0.76,None,13116031,90038,900381,1,930,10,4.035,3.563,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,8, ,250, test,0.6,None,13116028,27121,271211,0,925,10,3.812,2.014,12,17
87e629ac-6811-4448-942f-484f7811611b_1,8, ,250, test,0.76,None,13116028,90291,902910,1,925,10,4.386,3.549,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,9, ,250, test,0.6,None,13116031,26602,266029,0,921,10,2.446,2.206,12,17
87e629ac-6811-4448-942f-484f7811611b_1,9, ,250, test,0.78,None,13116031,89966,899665,1,921,10,3.32,3.959,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,10, ,250, test,0.6,None,13116031,25839,258398,0,927,10,3.281,2.106,12,17
87e629ac-6811-4448-942f-484f7811611b_1,10, ,250, test,0.78,None,13116031,90501,905011,1,927,10,4.096,3.968,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,11, ,250, test,0.62,None,13116032,25597,255972,0,921,10,5.823,2.043,12,17
87e629ac-6811-4448-942f-484f7811611b_1,11, ,250, test,0.78,None,13116032,89950,899504,1,921,10,3.883,3.76,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,12, ,250, test,0.62,None,13116032,24885,248859,0,935,10,2.311,2.093,12,17
87e629ac-6811-4448-942f-484f7811611b_1,12, ,250, test,0.78,None,13116032,91198,911988,1,935,10,3.899,4.012,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,13, ,250, test,0.62,None,13116031,24823,248235,0,940,10,4.281,2.252,12,17
87e629ac-6811-4448-942f-484f7811611b_1,13, ,250, test,0.78,None,13116031,91646,916460,1,940,10,5.638,4.012,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,14, ,250, test,0.62,None,13116029,24800,248007,0,940,10,2.754,2.001,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,14, ,250, test,0.78,None,13116029,112517,1125173,1,940,10,4.025,3.689,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,15, ,250, test,0.62,None,13116032,29165,291654,0,948,10,2.761,2.229,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,15, ,250, test,0.78,None,13116032,92353,923533,1,948,10,5.297,3.701,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,16, ,250, test,0.62,None,13116033,31285,312856,0,928,10,3.629,2.083,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,16, ,250, test,0.78,None,13116033,90631,906315,1,928,10,3.51,3.678,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,17, ,250, test,0.62,None,13116028,32373,323730,0,927,10,3.427,1.915,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,17, ,250, test,0.8,None,13116028,90632,906328,1,927,10,2.813,3.6,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,18, ,250, test,0.62,None,13116030,32585,325853,0,923,10,3.392,2.069,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,18, ,250, test,0.8,None,13116030,90268,902686,1,923,10,2.729,3.628,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,19, ,250, test,0.62,None,13116034,33093,330937,0,932,10,2.513,2.019,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,19, ,250, test,0.8,None,13116034,90943,909436,1,932,10,3.361,3.555,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,20, ,250, test,0.62,None,13116029,34095,340957,0,923,10,3.605,2.006,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,20, ,250, test,0.8,None,13116029,90242,902421,1,923,10,3.173,3.886,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,21, ,250, test,0.62,None,13116029,34472,344728,0,940,10,3.324,2.182,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,21, ,250, test,0.82,None,13116029,91863,918630,1,940,10,2.741,3.791,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,22, ,250, test,0.62,None,13116031,35762,357627,0,920,10,3.767,2.225,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,22, ,250, test,0.82,None,13116031,89905,899057,1,920,10,3.162,3.633,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,23, ,250, test,0.62,None,13116029,35864,358641,0,936,10,3.677,2.05,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,23, ,250, test,0.82,None,13116029,91361,913615,1,936,10,3.379,3.776,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,24, ,250, test,0.62,None,13116030,36279,362791,0,922,10,3.608,1.976,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,24, ,250, test,0.82,None,13116030,90122,901223,1,922,10,2.923,3.698,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,25, ,250, test,0.62,None,13116031,35551,355513,0,926,10,3.867,2.494,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,25, ,250, test,0.82,None,13116031,90369,903690,1,926,10,3.7,3.791,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,26, ,250, test,0.62,None,13116027,34486,344867,0,926,10,4.205,1.963,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,26, ,250, test,0.82,None,13116027,90435,904356,1,926,10,3.45,3.681,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,27, ,250, test,0.62,None,13116031,33244,332447,0,930,10,3.721,2.033,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,27, ,250, test,0.82,None,13116031,90833,908338,1,930,10,2.713,3.799,12,17
8a04dd62-d05a-4cd2-bb48-b844ae655dee_1,28, ,250, test,0.62,None,13116033,33666,336665,0,922,10,3.86,2.033,12,17
5bc1f703-8ca8-480f-a407-6488fbbc2587_1,28, ,250, test,0.82,None,13116033,90047,900478,1,922,10,3.5,3.799,12,17
49bb084f-5b66-4999-8f98-2948369441dd_1,29, ,250, test,0.62,None,13116029,33217,332178,0,1032,10,1.354,2.299,12,17
c10e091f-9148-4f97-9e2e-3e4918d093c6_1,29, ,250, test,0.82,None,13116029,93742,937420,1,1032,10,2.329,4.205,12,17
49bb084f-5b66-4999-8f98-2948369441dd_1,30, ,250, test,0.64,None,13116032,30532,305327,0,919,10,4.425,2.016,12,17
c10e091f-9148-4f97-9e2e-3e4918d093c6_1,30, ,250, test,0.82,None,13116032,88830,888305,1,919,10,3.701,3.632,12,17
49bb084f-5b66-4999-8f98-2948369441dd_1,31, ,250, test,0.64,None,13116030,29647,296475,0,916,10,3.647,1.934,12,17
c10e091f-9148-4f97-9e2e-3e4918d093c6_1,31, ,250, test,0.82,None,13116030,89461,894612,1,916,10,2.86,3.909,12,17
49bb084f-5b66-4999-8f98-2948369441dd_1,32, ,250, test,0.64,None,13116027,29306,293066,0,917,10,4.337,2.018,12,17
c10e091f-9148-4f97-9e2e-3e4918d093c6_1,32, ,250, test,0.82,None,13116027,89456,894568,1,917,10,4.012,3.832,12,17
