client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
88758b3f-8a73-4f99-9efd-69d79c86effb_1,1, ,250, test,0,None,2587608,10383,103834,0,255,10,0.566,1.967,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,1, ,250, test,0,None,2587608,23613,236139,1,255,10,0.67,1.205,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,2, ,250, test,0.34,None,2587603,10694,106940,0,245,10,0.685,0.855,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,2, ,250, test,0.48,None,2587603,23765,237658,1,245,10,0.888,0.923,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,3, ,250, test,0.46,None,2587607,11690,116900,0,245,10,0.98,0.958,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,3, ,250, test,0.58,None,2587607,23813,238131,1,245,10,0.83,0.946,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,4, ,250, test,0.54,None,2587608,11978,119788,0,245,10,0.644,0.586,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,4, ,250, test,0.64,None,2587608,23772,237728,1,245,10,0.831,1.057,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,5, ,250, test,0.6,None,2587607,11823,118239,0,244,10,0.737,0.575,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,5, ,250, test,0.68,None,2587607,23715,237156,1,244,10,1.045,1.051,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,6, ,250, test,0.6,None,2587603,11888,118884,0,237,10,0.814,0.759,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,6, ,250, test,0.72,None,2587603,23074,230743,1,237,10,0.569,0.944,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,7, ,250, test,0.6,None,2587607,12377,123773,0,244,10,0.858,1.483,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,7, ,250, test,0.74,None,2587607,23788,237889,1,244,10,0.828,1.039,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,8, ,250, test,0.6,None,2587604,11802,118020,0,242,10,0.874,0.559,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,8, ,250, test,0.74,None,2587604,23526,235269,1,242,10,0.586,0.917,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,9, ,250, test,0.6,None,2587607,12234,122348,0,241,10,0.677,0.552,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,9, ,250, test,0.74,None,2587607,23515,235152,1,241,10,0.675,0.911,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,10, ,250, test,0.6,None,2587607,12262,122624,0,253,10,0.89,0.541,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,10, ,250, test,0.74,None,2587607,24638,246381,1,253,10,0.647,0.905,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,11, ,250, test,0.6,None,2587608,12530,125306,0,269,10,0.455,0.49,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,11, ,250, test,0.76,None,2587608,26098,260980,1,269,10,0.533,1.023,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,12, ,250, test,0.6,None,2587608,12123,121235,0,258,10,0.891,0.531,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,12, ,250, test,0.78,None,2587608,25092,250921,1,258,10,1.035,0.929,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,13, ,250, test,0.6,None,2587607,11924,119243,0,240,10,0.872,0.615,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,13, ,250, test,0.76,None,2587607,23386,233868,1,240,10,0.694,0.909,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,14, ,250, test,0.6,None,2587605,12119,121190,0,242,10,0.768,0.553,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,14, ,250, test,0.76,None,2587605,23499,234994,1,242,10,0.826,0.899,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,15, ,250, test,0.6,None,2587608,12363,123632,0,241,10,0.991,0.614,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,15, ,250, test,0.78,None,2587608,23496,234960,1,241,10,0.726,0.912,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,16, ,250, test,0.6,None,2587609,13023,130239,0,239,10,1.11,0.516,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,16, ,250, test,0.78,None,2587609,23265,232651,1,239,10,0.856,0.855,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,17, ,250, test,0.6,None,2587604,13742,137429,0,237,10,0.523,0.528,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,17, ,250, test,0.78,None,2587604,23084,230846,1,237,10,0.683,0.854,2,3
88758b3f-8a73-4f99-9efd-69d79c86effb_1,18, ,250, test,0.6,None,2587606,14120,141203,0,240,10,0.843,0.462,2,3
03438f9e-d30c-456b-af3f-77a9c422fcb7_1,18, ,250, test,0.78,None,2587606,23385,233854,1,240,10,0.579,0.91,2,3
