client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
fa4fb86a-ba4d-4417-ab50-faa35a70e675_1,1, ,250, test,0,None,26415307,47994,479949,0,1868,10,11.11,17.505,25,34
f90c7465-9c60-4629-932b-bb22776c85a0_1,1, ,250, test,0,None,26415307,174382,1743826,1,1868,10,21.878,32.929,25,34
fa4fb86a-ba4d-4417-ab50-faa35a70e675_1,2, ,250, test,0.36,None,26415303,43757,437577,0,1835,10,11.242,17.308,25,34
f90c7465-9c60-4629-932b-bb22776c85a0_1,2, ,250, test,0.48,None,26415303,174650,1746500,1,1835,10,21.858,32.897,25,34
fa4fb86a-ba4d-4417-ab50-faa35a70e675_1,3, ,250, test,0.44,None,26415307,44680,446802,0,1828,10,11.326,18.094,25,34
f90c7465-9c60-4629-932b-bb22776c85a0_1,3, ,250, test,0.72,None,26415307,173974,1739742,1,1828,10,21.785,32.98,25,34
fa4fb86a-ba4d-4417-ab50-faa35a70e675_1,4, ,250, test,0.58,None,26415308,42367,423676,0,1840,10,10.943,28.775,25,34
f90c7465-9c60-4629-932b-bb22776c85a0_1,4, ,250, test,0.72,None,26415308,175129,1751297,1,1840,10,21.934,33.032,25,34
fa4fb86a-ba4d-4417-ab50-faa35a70e675_1,5, ,250, test,0.6,None,26415307,42241,422415,0,1834,10,11.045,17.438,25,34
f90c7465-9c60-4629-932b-bb22776c85a0_1,5, ,250, test,0.7,None,26415307,174609,1746095,1,1834,10,21.904,32.886,25,34
fa4fb86a-ba4d-4417-ab50-faa35a70e675_1,6, ,250, test,0.62,None,26415304,42131,421310,0,1823,10,11.856,17.59,25,34
f90c7465-9c60-4629-932b-bb22776c85a0_1,6, ,250, test,0.74,None,26415304,173325,1733251,1,1823,10,21.857,33.106,25,34
fa4fb86a-ba4d-4417-ab50-faa35a70e675_1,7, ,250, test,0.62,None,26415306,42424,424246,0,1860,10,11.063,17.353,25,34
f90c7465-9c60-4629-932b-bb22776c85a0_1,7, ,250, test,0.74,None,26415306,175025,1750256,1,1860,10,21.908,33.151,25,34
fa4fb86a-ba4d-4417-ab50-faa35a70e675_1,8, ,250, test,0.62,None,26415309,41423,414239,0,1829,10,10.985,17.512,25,34
f90c7465-9c60-4629-932b-bb22776c85a0_1,8, ,250, test,0.78,None,26415309,173918,1739188,1,1829,10,22.075,33.535,25,34
fa4fb86a-ba4d-4417-ab50-faa35a70e675_1,9, ,250, test,0.62,None,26415306,43493,434939,0,1836,10,11.392,18.221,25,34
f90c7465-9c60-4629-932b-bb22776c85a0_1,9, ,250, test,0.78,None,26415306,174680,1746806,1,1836,10,21.911,33.006,25,34
fa4fb86a-ba4d-4417-ab50-faa35a70e675_1,10, ,250, test,0.62,None,26415303,42414,424145,0,1825,10,11.209,17.411,25,34
