client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
9efea489-ecf6-40f9-ad92-df0d50b87c02_1,1, ,250, test,0,None,26415305,43368,433681,0,579,10,11.139,17.793,25,34
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,1, ,250, test,0.04,None,6734281,52038,520386,1,579,10,6.689,13.768,6,8
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,2, ,250, test,0.58,None,6734281,53589,535895,1,588,10,6.717,14.404,6,8
9efea489-ecf6-40f9-ad92-df0d50b87c02_1,2, ,250, test,0.46,None,26415306,51541,515419,0,588,10,12.063,22.959,25,34
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,3, ,250, test,0.76,None,6734279,53037,530377,1,585,10,6.689,14.249,6,8
9efea489-ecf6-40f9-ad92-df0d50b87c02_1,3, ,250, test,0.54,None,26415307,51809,518090,0,585,10,11.757,21.526,25,34
9efea489-ecf6-40f9-ad92-df0d50b87c02_1,4, ,250, test,0.62,None,26415304,45136,451360,0,559,10,12.148,17.682,25,34
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,4, ,250, test,0.82,None,6734279,52363,523633,1,559,10,6.571,14.037,6,8
9efea489-ecf6-40f9-ad92-df0d50b87c02_1,5, ,250, test,0.62,None,26415309,45576,455761,0,563,10,11.951,17.166,25,34
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,5, ,250, test,0.86,None,6734277,52665,526650,1,563,10,6.66,14.099,6,8
9efea489-ecf6-40f9-ad92-df0d50b87c02_1,6, ,250, test,0.62,None,26415307,46175,461750,0,557,10,12.164,17.43,25,34
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,6, ,250, test,0.86,None,6734277,52139,521394,1,557,10,6.525,13.674,6,8
9efea489-ecf6-40f9-ad92-df0d50b87c02_1,7, ,250, test,0.6,None,26415308,48187,481874,0,560,10,12.108,17.143,25,34
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,7, ,250, test,0.86,None,6734278,52450,524506,1,560,10,6.569,13.944,6,8
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,8, ,250, test,0.88,None,6734274,52756,527565,1,567,10,6.514,14.957,6,8
9efea489-ecf6-40f9-ad92-df0d50b87c02_1,8, ,250, test,0.6,None,26415308,49546,495468,0,567,10,12.387,17.143,25,34
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,9, ,250, test,0.88,None,6734281,52128,521289,1,3732,10,6.642,13.798,6,8
fe01732b-d466-46fb-99ca-5cb2c51c6a58_1,9, ,250, test,0.6,None,26415305,47540,475405,0,3732,10,10.977,19.94,25,34
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,10, ,250, test,0.88,None,6734276,52466,524669,1,588,10,6.526,13.75,6,8
fe01732b-d466-46fb-99ca-5cb2c51c6a58_1,10, ,250, test,0.6,None,26415308,52003,520030,0,588,10,11.909,17.369,25,34
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,11, ,250, test,0.2,None,6734278,53788,537881,1,613,10,6.594,13.371,6,8
fe01732b-d466-46fb-99ca-5cb2c51c6a58_1,11, ,250, test,0.6,None,26415307,54376,543760,0,613,10,11.873,19.105,25,34
bdba0f8b-c761-43bb-b60c-1976b27f4973_1,12, ,250, test,0.7,None,6734280,52186,521860,1,621,10,6.582,13.575,6,8
fe01732b-d466-46fb-99ca-5cb2c51c6a58_1,12, ,250, test,0.56,None,26415307,54978,549788,0,621,10,15.544,17.346,25,34
