client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
d92184eb-d5f1-4c73-8dea-d379881e4dde_1, 17, ,250, test, 0.82,None, 26415308.0, 174441.0, 1744412.0, 1, 1789, 10, 6.429, 6.604, 25, 34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1, 18, ,250, test, 0.62,None, 26415308.0, 31736.0, 317361.0, 0, 1784, 10, 7.15, 3.844, 25, 34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1, 18, ,250, test, 0.82,None, 26415308.0, 174072.0, 1740727.0, 1, 1784, 10, 6.058, 6.688, 25, 34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1, 19, ,250, test, 0.62,None, 26415307.0, 31704.0, 317043.0, 0, 1786, 10, 7.292, 3.811, 25, 34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1, 19, ,250, test, 0.82,None, 26415307.0, 174139.0, 1741390.0, 1, 1786, 10, 6.487, 7.036, 25, 34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1, 20, ,250, test, 0.62,None, 26415303.0, 33346.0, 333467.0, 0, 1791, 10, 7.807, 3.894, 25, 34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1, 20, ,250, test, 0.82,None, 26415303.0, 174561.0, 1745614.0, 1, 1791, 10, 6.818, 6.732, 25, 34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1, 21, ,250, test, 0.62,None, 26415306.0, 36483.0, 364830.0, 0, 1789, 10, 7.371, 3.81, 25, 34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1, 21, ,250, test, 0.82,None, 26415306.0, 174642.0, 1746427.0, 1, 1789, 10, 4.738, 6.744, 25, 34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1, 22, ,250, test, 0.62,None, 26415308.0, 37890.0, 378905.0, 0, 1778, 10, 7.593, 3.914, 25, 34
