client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
8bc4f49b-9e9d-4878-a512-2a583739926a_1,1, ,250, test,0,None,26415307,45979,459795,0,1877,10,10.132,12.361,25,34
83f42132-115e-4e1c-9ede-2e9b58fb77bd_1,1, ,250, test,0,None,26415307,180828,1808287,1,1877,10,9.873,8.242,25,34
8bc4f49b-9e9d-4878-a512-2a583739926a_1,2, ,250, test,0.36,None,26415303,43630,436305,0,1819,10,7.916,7.199,25,34
83f42132-115e-4e1c-9ede-2e9b58fb77bd_1,2, ,250, test,0.48,None,26415303,176430,1764303,1,1819,10,9.246,8.236,25,34
8bc4f49b-9e9d-4878-a512-2a583739926a_1,3, ,250, test,0.44,None,26415307,42391,423914,0,1788,10,9.111,7.199,25,34
83f42132-115e-4e1c-9ede-2e9b58fb77bd_1,3, ,250, test,0.72,None,26415307,174214,1742146,1,1788,10,6.862,7.742,25,34
83f42132-115e-4e1c-9ede-2e9b58fb77bd_1,4, ,250, test,0.72,None,26415308,180209,1802094,1,2406,10,6.42,7.968,25,34
0318e2fc-ef52-48b5-8798-bdaea5672ad3_1,4, ,250, test,0.58,None,26415308,44290,442903,0,2406,10,3.168,7.757,25,34
0318e2fc-ef52-48b5-8798-bdaea5672ad3_1,5, ,250, test,0.6,None,26415307,46534,465344,0,1786,10,7.271,4.671,25,34
83f42132-115e-4e1c-9ede-2e9b58fb77bd_1,5, ,250, test,0.7,None,26415307,173769,1737694,1,1786,10,5.331,8.341,25,34
0318e2fc-ef52-48b5-8798-bdaea5672ad3_1,6, ,250, test,0.62,None,26415304,46414,464142,0,1832,10,10.565,4.491,25,34
83f42132-115e-4e1c-9ede-2e9b58fb77bd_1,6, ,250, test,0.74,None,26415304,178615,1786155,1,1832,10,7.302,7.607,25,34
0318e2fc-ef52-48b5-8798-bdaea5672ad3_1,7, ,250, test,0.62,None,26415306,42737,427376,0,1861,10,8.39,5.067,25,34
